Standard Number,Standard Name,YEAR,PUBLISHER,Price,Description,Currency,Image_URL,Updated_At,Discount,Visible
DIN 4726:2024-12,Warm water surface heating systems and radiator connections - Plastics and multilayer piping systems; Text in German and English,2024-12,DIN,108.32,Barrier layers*Classification*Definitions*Dimensions*Fittings*Heating equipment*Hot-water central heating*Marking*Materials*Operating conditions*Pipe system*Pipelines*Pipes*Plastic pipelines*Plastics*Polymers*Properties*Radiators*Sealing elements*Seamless pipes*Specification (approval)*Surface heating systems*Surveillance (approval)*Testing*Thermal environment systems*Tightness*Underfloor heating,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 4760:2025-05,"Form deviations - Concepts, Classification system",2025-05,DIN,66.64,Definitions*Design*Surfaces,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 5031-100:2025-09,"Optical radiation physics and illuminating engineering - Part 100: Melanopic effects of ocular light on human beings - Quantities, symbols and action spectra",2025-09,DIN,214.49,Effects*Illumination engineering*Optical radiation*People*Radiation physics,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 5032-7:2024-12,Photometry - Part 7: Classification of illuminance meters and luminance meters,2024-12,DIN,66.64,Classification systems*Photometers*Photometry (light measurement),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 5480-2:2025-10,Involute splines based on reference diameters - Part 2: Nominal and inspection dimensions,2025-10,DIN,295.98,Fits*Power transmission engineering*Teeth of gears,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 5480-15:2025-10,Involute splines based on reference diameters - Part 15: Inspection,2025-10,DIN,187.01,Inspection*Involute splines*Power transmission engineering,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 6303:2024-05,Knurled nuts,2024-05,DIN,66.64,Knurled nuts*Nuts,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 6336:2025-01,Star grips,2025-01,DIN,90,Machine knobs*Operating devices,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 6535:2024-03,Cylindrical shanks made of hard materials for machining tools - Dimensions,2024-03,DIN,100.93,Hart-aggregates*Parallel shanks*Tools,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 7992:2024-05,T-head bolts with large head,2024-05,DIN,78.41,Square head bolts*T-head bolts,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 8000:2025-02,Hobs - Design dimensions and deviations of hobs for involute gears,2025-02,DIN,187.01,Cylindrical gears*Gear hobs*Involute teeth,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 11864-1:2025-04,Stainless steel components for aseptic applications in the chemical and the pharmaceutical industries - Part 1: Connections,2025-04,DIN,187.01,Aseptic connections*Compression fittings*Stainless steels*Valves,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 11864-2:2024-04,Stainless steel components for aseptic applications in the chemical and the pharmaceutical industries - Part 2: Flange connections,2024-04,DIN,187.01,Aseptic connections*Flange connections*Stainless steels*Valves,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN/TR 13284:2025-03,Thrombin generation assay; Text in German and English,2025-03,DIN,86.45,Analysis*Bleeding*Blood*Blood coagulation*Coagulant activity*Coagulant factor*Coagulation*Enzymes*Generation*Haemostaseology*Methods*Personal health*Substrates (insulating)*Testing*Thrombin*Thromboplastin time,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 14700:2025-03,Firefighting and fire protection - CAN interface for devices in emergency vehicles; Text in English,2025-03,DIN,369.35,Acoustics*Application layer*Authority*Automotive engineering*Battery chargers*CAN*Charging equipment*Codification*Communication*Components*Controller Area Network*Data link layers*Data objekt*Data transfer*Definitions*Diagnosis*Electric generators*Electrically-operated devices*Error detection*Extinguishing equipment*Fire brigade*Fire brigade equipment*Firefighting*Firefighting vehicles*Frequency converters*Handlings*Hardware*Identification signals*Interfaces*Interfaces (data processing)*Lighting columns*Police forces*Portable fire pumps*Powder fire extinguishers*Process data*Rope winches*Safeguarding*Safety data*Security*Signals*Software*Telecommunication*Terms*Vehicles*Warnings,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 15207-1:2024-06,Continuous mechanical handling equipment - Idlers for belt conveyors - Main dimensions of idlers for belt conveyors for bulk material,2024-06,DIN,90,Belt conveyors*Dimensions*Idlers,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 15584-1:2025-09,"Digital cinema - Image Projection - Part 1: Image geometries for projection and mastering, their tolerances and test patterns; Text in German and English",2025-09,DIN,125.79,Aspect ratio*Aspect ratio (images)*Cinemas*Coding (data conversion)*Colorimetry*Compression*Data compression*Data processing*Definitions*Digital*Digital data*Digital engineering*Distribution*Film projection*Geometry*Graphic data processing*Image processing*Image size ratio*Information technology*Motion-picture film*Motion-picture film size*Motion-picture technics*Multimedia*Picture sizes*Pixels*Projection conditions*Projection (drawing)*Software,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 16728:2026-05,Pipes and fittings made of unfilled and non-reinforced crosslinked polyethylene (PE-X) - Determination of the degree of crosslinking through rheological measurement of the storage modulus; Text in German and English,2026-05,DIN,98.69,Cross-linked*Cross-linked materials*Cross-linking (chemical)*Definitions*Degrees*Determination*Fittings*Measurement*Modules*Persistent stored modules*PE-X*Pipes*Plastics*Polyethylene*Rheology*Shear modul*Stores*Test specimens*Testing*Unreinforced,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 16833:2024-02,"Polyethylene pipes of raised temperature resistance (PE-RT) - PE-RT Type I and PE-RT Type II - General quality requirements, testing; Text in German and English",2024-02,DIN,98.69,Creep behaviour*Creep internal pressure proof tests*Creep rupture tests*Definitions*Delivery conditions*Dimensions*Finishes*Heat treatment*Hydraulic pressure test*Internal pressure*Materials*PE*Pipes*Plastic pipes*Plastics*Polyethylene*Pressure testing*Quality requirements*Seamless pipes*Service life*Specification (approval)*Strength of materials*Temperature stability*Testing*Testing conditions*Thermoplastic polymers*Type designation*Types,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 17745:2025-09,Wrought alloys of nickel and iron - Chemical composition,2025-09,DIN,90,Composition*Iron*Nickel*Wrought alloys,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 18008-3:2024-12,Glass in Building - Design and construction rules - Part 3: Point fixed glazing,2024-12,DIN,187.01,Construction*Dimensioning*Glass*Glazing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 18008-4:2024-12,Glass in building - Design and construction rules - Part 4: Additional requirements for barrier glazing,2024-12,DIN,187.01,Construction*Glass*Glazing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 18008-5:2024-12,Glass in Building - Design and construction rules - Part 5: Additional requirements for walk-on glazing,2024-12,DIN,90,Construction*Glass*Glazing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 18515-2:2024-10,Cladding for external walls - Principles of design and application - Part 2: Facing bricks fixed in mortar on supports,2024-10,DIN,78.41,Buildings*Cladding (buildings)*Exterior wall coverings,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 18875:2026-06,Equipment for commercial kitchens - Connection for power optimization; Text in German and English,2026-06,DIN,89.72,Canteen kitchen*Catering equipment*Clamps*Connections*Definitions*Electrical equipment*Industrial economics*Installations*Interfaces*Kitchen utensils*Optimization*Performance*Signals*Thermal,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 19293:2025-10,Non-destructive testing - Evaluation of testing data - Guideline to estimate the reliability of applications; Text in English,2025-10,DIN,125.79,Algorithms*Conditions*Data collection*Data quality*Definitions*Evaluations*Guide books*Human factors*Inspection*Interpretations*Methods*Non-destructive testing*Procedures*Quality assurance*Reliability*Reliability testing*Results*Test data*Test specifications*Test specimens*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 30670-1:2024-01,Polyethylen coatings of steel pipes and fittings - Part 1: Requirements and testings of factory-applied extruded coatings,2024-01,DIN,195.89,Gas technology*Pipes*Polyethylene*Sheathings,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 30670-2:2024-01,Polyethylen coatings of steel pipes and fittings - Part 2: Requirements and testings of factory-applied sintered or flame sprayed coatings,2024-01,DIN,204.86,Gas technology*Pipes*Polyethylene*Sheathings,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 30678-1:2024-01,Polypropylen coatings of steel pipes and fittings - Part 1: Requirements and testings of factory-applied extruded coatings,2024-01,DIN,187.01,Polypropylene*Sheathings,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 30678-2:2024-01,Polypropylen coatings of steel pipes and fittings - Part 2: Requirements and testings of factory-applied sintered or flame sprayed coatings,2024-01,DIN,187.01,Gas technology*Polypropylene*Sheathings,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 44808-1:2026-03,Chronometric dating methods in geosciences and archaeology by luminescence - Part 1: Reporting of equivalent doses and dating results; Text in German and English,2026-03,DIN,179.16,Age*Age inspection*Archaeology*Chronometers*Coverage*Dating methods*Definitions*Determination*Dose equivalent*Dosimetry*Geological analysis*Geology*Geotechnics*Luminescence*Measurement*Minerals*Quartz*Reports*Samples,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 45669-2:2025-02,Measurement of vibration immission - Part 2: Measuring method,2025-02,DIN,145.79,Measurement*Pollution protection*Vibration,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN 45689-2:2025-07,Acoustics - Determination of aircraft noise exposure at airfields - Part 2: Evaluation and generation of additional input data for calculation - Trajectory data and data acquisition system; Text in German and English,2025-07,DIN,335.05,Acoustics*Air pollution*Air traffic*Aircraft*Aircrafts*Airfields*Airplane noise*Data*Data acquisition*Data analysis*Data editing*Definitions*Determination*Extensible Markup Language*Flight*Flight operations*Generation*Grouping*Immission determination*Interpretations*Mathematical calculations*Methods of calculation*Noise*Noise control*Noise (environmental)*Noise immisions*Reduction of immission*XML,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
