Subject,Title,Author,ISBN,Price,Currency,Pages,Publication_Year,Category,Image_URL,Book_URL,Description,Updated_At,Discount,Visible,Publisher
New Releases,"Introductory Nuclear Physics, 3ed (An Indian Adaptation)",Kenneth S. Krane,9789354640834,,INR,872,2022,Science,/images/books/9789354640834.jpg,,"Explore Introductory Nuclear Physics, 3ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in science. Written by Kenneth S. Krane, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,FALSE,Wiley
New Releases,"Communication Systems, 5ed, An Indian Adaptation","Simon Haykin, Michael Moher, Ajay Singh Raghuvanshi, Shweta Shah",9789354640896,1050,INR,608,2022,General,/images/books/9789354640896.jpg,,"Explore Communication Systems, 5ed, An Indian Adaptation, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Simon Haykin, Michael Moher, Ajay Singh Raghuvanshi, Shweta Shah, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,The Answer Writing Manual: For UPSC Civil Services and State Services Examinations (Hindi),"Srushti Deshmukh Gowda, IAS, Dr. Nagarjun B Gowda, IAS",9789363868991,450,INR,304,2025,Competitive Exams,/images/books/9789363868991.jpg,,"Explore The Answer Writing Manual: For UPSC Civil Services and State Services Examinations (Hindi), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in competitive exams. Written by Srushti Deshmukh Gowda, IAS, Dr. Nagarjun B Gowda, IAS, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,The Answer Writing Manual: For UPSC Civil Services and State Services Examinations,"Srushti Deshmukh Gowda, IAS, Dr. Nagarjun B Gowda, IAS",9789363869608,499,INR,296,2025,Competitive Exams,/images/books/9789363869608.jpg,,"Explore The Answer Writing Manual: For UPSC Civil Services and State Services Examinations, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in competitive exams. Written by Srushti Deshmukh Gowda, IAS, Dr. Nagarjun B Gowda, IAS, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,Geography of India: For UPSC Civil Services and State Examinations,Jayakrishna Sanapa,9789363866478,695,INR,690,2025,Competitive Exams,/images/books/9789363866478.jpg,,"Explore Geography of India: For UPSC Civil Services and State Examinations, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in competitive exams. Written by Jayakrishna Sanapa, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Project Management : A Managerial Approach, 11ed (An Indian Adaptation)","Jack R. Meredith, Scott M. Shafer, Ramesh Anbanandam",9789354641176,1119,INR,556,2022,Management,/images/books/9789354641176.jpg,,"Explore Project Management : A Managerial Approach, 11ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in management. Written by Jack R. Meredith, Scott M. Shafer, Ramesh Anbanandam, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,Wiley's GATE Life Science Chapter - Wise Solved Papers (2000 - 2022),,9789354641268,699,INR,760,2022,General,/images/books/9789354641268.jpg,,"Explore Wiley's GATE Life Science Chapter - Wise Solved Papers (2000 - 2022), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by , it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Burketâ€™s Oral Medicine, 13ed (An Indian Adaptation)","Michael Glick , Martin S. Greenberg , Peter B. Lockhart , Stephen J. Challacombe",9789354641473,,INR,1192,2022,General,/images/books/9789354641473.jpg,,"Explore Burketâ€™s Oral Medicine, 13ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Michael Glick , Martin S. Greenberg , Peter B. Lockhart , Stephen J. Challacombe, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,FALSE,Wiley
New Releases,"Principles of Gene Manipulation and Genomics, 7ed (An Indian Adaptation)","Sandy B. Primrose, Richard Twyman",9789354641534,3495,INR,712,2023,General,/images/books/9789354641534.jpg,,"Explore Principles of Gene Manipulation and Genomics, 7ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Sandy B. Primrose, Richard Twyman, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Textbook of Biochemistry with Clinical Correlations, 7ed (An Indian Adaptation)",Thomas M. Devlin,9789354641558,9995,INR,1248,2022,General,/images/books/9789354641558.jpg,,"Explore Textbook of Biochemistry with Clinical Correlations, 7ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Thomas M. Devlin, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,Data Analytics,"Dr. Radha Shankarmani, Dr. M. Vijayalakshmi",9789354641824,925,INR,,2022,Technology,/images/books/9789354641824.jpg,,"Explore Data Analytics, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in technology. Written by Dr. Radha Shankarmani, Dr. M. Vijayalakshmi, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Information Technology for Management, 12ed: Driving Digital Transformation to Increase Local and Global Performance, Growth and Sustainability (An Indian Adaptation)","Efraim Turban, Carol Pollard, Gregory Wood, O.P. Wali",9789354641985,1179,INR,664,2022,Management,/images/books/9789354641985.jpg,,"Explore Information Technology for Management, 12ed: Driving Digital Transformation to Increase Local and Global Performance, Growth and Sustainability (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in management. Written by Efraim Turban, Carol Pollard, Gregory Wood, O.P. Wali, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Remote Sensing and Image Interpretation,7ed (An Indian Adaptation)","Thomas Lillesand, Ralph W. Kiefer, Jonathan Chipman",9789354642104,1189,INR,,2022,General,/images/books/9789354642104.jpg,,"Explore Remote Sensing and Image Interpretation,7ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Thomas Lillesand, Ralph W. Kiefer, Jonathan Chipman, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Patterns of Entrepreneurship Management, 6ed (An Indian Adaptation)","Jack M. Kaplan, Jack McGourty, Venkatesha Murthy",9789354642289,999,INR,432,2022,Management,/images/books/9789354642289.jpg,,"Explore Patterns of Entrepreneurship Management, 6ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in management. Written by Jack M. Kaplan, Jack McGourty, Venkatesha Murthy, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,Deep Learning with TensorFlow JS Projects,Umang Sharma,9789354642401,999,INR,,2022,General,/images/books/9789354642401.jpg,,"Explore Deep Learning with TensorFlow JS Projects, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Umang Sharma, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,Contemporary Organizational Behavior,"Nishant Uppal, Sujit Shekhar Maharana",9789354642593,999,INR,,2022,General,/images/books/9789354642593.jpg,,"Explore Contemporary Organizational Behavior, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Nishant Uppal, Sujit Shekhar Maharana, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Calculus, Vol I, 2ed (An Indian Adaptation)",Tom M. Apostol,9789354642630,1019,INR,,2022,General,/images/books/9789354642630.jpg,,"Explore Calculus, Vol I, 2ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Tom M. Apostol, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Calculus, Vol II, 2ed ( An Indian Adaptation)",Tom M. Apostol,9789354642722,1029,INR,644,2022,General,/images/books/9789354642722.jpg,,"Explore Calculus, Vol II, 2ed ( An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Tom M. Apostol, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,Data Visualization: Storytelling Using Data,"Sharada Sringeswara, Purvi Tiwari, U. Dinesh Kumar",9789354643132,1099,INR,,2022,Technology,/images/books/9789354643132.jpg,,"Explore Data Visualization: Storytelling Using Data, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in technology. Written by Sharada Sringeswara, Purvi Tiwari, U. Dinesh Kumar, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Applied Solid State Physics, 2ed",Rajnikant,9789354643309,1039,INR,,2022,Science,/images/books/9789354643309.jpg,,"Explore Applied Solid State Physics, 2ed, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in science. Written by Rajnikant, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Principles of Plant Breeding, 2ed (An Indian Adaptation)",Robert W. Allard,9789354643576,1995,INR,,2022,General,/images/books/9789354643576.jpg,,"Explore Principles of Plant Breeding, 2ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Robert W. Allard, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,Machine Learning for Text and Image Data Analysis,Bharti Motwani,9789354643606,1169,INR,828,2023,Technology,/images/books/9789354643606.jpg,,"Explore Machine Learning for Text and Image Data Analysis, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in technology. Written by Bharti Motwani, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Gene Cloning and DNA Analysis, 8ed: An Introduction(An Indian Adaptation)",T. A. Brown,9789354643644,3195,INR,472,2022,General,/images/books/9789354643644.jpg,,"Explore Gene Cloning and DNA Analysis, 8ed: An Introduction(An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by T. A. Brown, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Economics of Strategy, 7ed (An Indian Adaptation)","David Dranove, David Besanko, Mark Shanley, Scott Schaefer, P. Rameshan",9789354644078,1159,INR,640,2024,General,/images/books/9789354644078.jpg,,"Explore Economics of Strategy, 7ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by David Dranove, David Besanko, Mark Shanley, Scott Schaefer, P. Rameshan, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Operations and Supply Chain Management, 10ed (An Indian Adaptation)","Roberta S. Russell, Bernard W. Taylor, Venkataramanaiah Saddikuti, Pavan Kumar Gudavalleti",9789354644092,1189,INR,880,2023,Management,/images/books/9789354644092.jpg,,"Explore Operations and Supply Chain Management, 10ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in management. Written by Roberta S. Russell, Bernard W. Taylor, Venkataramanaiah Saddikuti, Pavan Kumar Gudavalleti, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,Analysis and Design of Prestressed Concrete Structures,Shamsher Bahadur Singh,9789354644153,1129,INR,724,2023,General,/images/books/9789354644153.jpg,,"Explore Analysis and Design of Prestressed Concrete Structures, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Shamsher Bahadur Singh, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,Financial Analytics,Pitabas Mohanty,9789354644177,1099,INR,684,2022,General,/images/books/9789354644177.jpg,,"Explore Financial Analytics, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Pitabas Mohanty, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Radiation Detection and Measurement, 4ed (An Indian Adaptation)",Glenn F. Knoll,9789354644238,3499,INR,924,2023,General,/images/books/9789354644238.jpg,,"Explore Radiation Detection and Measurement, 4ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Glenn F. Knoll, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Mathematical Methods in the Physical Sciences, 3ed (An Indian Adaptation)",Mary L. Boas,9789354644252,1250,INR,888,2023,General,/images/books/9789354644252.jpg,,"Explore Mathematical Methods in the Physical Sciences, 3ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Mary L. Boas, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Information Security, 3ed: Principles and Practice (An Indian Adaptation)",Mark Stamp,9789354644313,1099,INR,552,2023,General,/images/books/9789354644313.png,,"Explore Information Security, 3ed: Principles and Practice (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Mark Stamp, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Introduction to Analog and Digital Communications, 2ed (An Indian Adaptation)",Simon Haykin,9789354644337,1099,INR,672,2022,General,/images/books/9789354644337.jpg,,"Explore Introduction to Analog and Digital Communications, 2ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Simon Haykin, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,Wiley's ExamXpert GRE Quantitative Reasoning,Abhijit Guha,9789354644481,999,INR,,2023,General,/images/books/9789354644481.jpg,,"Explore Wiley's ExamXpert GRE Quantitative Reasoning, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Abhijit Guha, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Engineering Chemistry, (As per Veltech University)","Dr. Chinnappan Baskar, Dr. Shikha Baskar, Dr. Ranjit S. Dhillon",9789354644825,769,INR,,2022,Engineering,/images/books/9789354644825.jpg,,"Explore Engineering Chemistry, (As per Veltech University), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in engineering. Written by Dr. Chinnappan Baskar, Dr. Shikha Baskar, Dr. Ranjit S. Dhillon, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,Cleansing Moments: Developing Leadership Skills For All Times,Dishan Kamdar,9789354644986,959,INR,,2022,General,/images/books/9789354644986.jpg,,"Explore Cleansing Moments: Developing Leadership Skills For All Times, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Dishan Kamdar, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Clinical Electrocardiography, 5ed: A Textbook (An Indian Adaptation)","Antoni Bay?s de Luna, Miquel Fiol-Sala, Antoni Bay?s-Gen?s, Adrian Baranchuk, Balbir Singh",9789354645105,3495,INR,636,2023,General,/images/books/9789354645105.jpg,,"Explore Clinical Electrocardiography, 5ed: A Textbook (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Antoni Bay?s de Luna, Miquel Fiol-Sala, Antoni Bay?s-Gen?s, Adrian Baranchuk, Balbir Singh, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Handbook of Diabetes, 5ed (An Indian Adaptation)","Rudy Bilous, Richard Donnelly, Iskandar Idris",9789354645129,3495,INR,340,2023,General,/images/books/9789354645129.jpg,,"Explore Handbook of Diabetes, 5ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Rudy Bilous, Richard Donnelly, Iskandar Idris, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Fundamentals of Corporate Finance, 5ed (An Indian Adaptation)","Robert Parrino, David S. Kidwell, Thomas Bates, Stuart L. Gillan, Puja Padhi",9789354645648,1175,INR,828,2023,General,/images/books/9789354645648.jpg,,"Explore Fundamentals of Corporate Finance, 5ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Robert Parrino, David S. Kidwell, Thomas Bates, Stuart L. Gillan, Puja Padhi, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,Microsoft Power BI For Dummies,Jack A. Hyman,9789354645778,959,INR,,2023,General,/images/books/9789354645778.jpg,,"Explore Microsoft Power BI For Dummies, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Jack A. Hyman, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Supply Chain Management, 3ed: A Global Perspective (An Indian Adaptation)","Nada R. Sanders, Sidhartha S. Padhi",9789354645792,1099,INR,480,2023,Management,/images/books/9789354645792.jpg,,"Explore Supply Chain Management, 3ed: A Global Perspective (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in management. Written by Nada R. Sanders, Sidhartha S. Padhi, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,"Contemporary Strategy Analysis, 11ed (An Indian Adaptation)","Robert M. Grant, P. D. Jose, Sai Yayavaram, Rejie George Pallathitta",9789354645945,1099,INR,620,2023,General,/images/books/9789354645945.jpg,,"Explore Contemporary Strategy Analysis, 11ed (An Indian Adaptation), a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Robert M. Grant, P. D. Jose, Sai Yayavaram, Rejie George Pallathitta, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
New Releases,Fixed Income Securities,"Sunil Parameswaran, Sankarshan Basu",9789357460231,1039,INR,200,2023,General,/images/books/9789357460231.jpg,,"Explore Fixed Income Securities, a practical and informative resource for students, professionals, and enthusiasts. This book presents key concepts, real-world applications, and current developments in general. Written by Sunil Parameswaran, Sankarshan Basu, it helps readers build knowledge, strengthen skills, and gain a deeper understanding of the subject. Suitable for learning, reference, and professional growth.",2026-06-22T08:54:54.454Z,20,TRUE,Wiley
